P1,P2,S1,S2,Challengers,Elites,Close,Fails
snaphap,Dragojent,2,0,jif,snaphap,sodapants,Dragojent
jif,sodapants,2,0,NickAzn,Pick,metalman20,Aetos
snaphap,jif,2,0,Edge,Mapy,Jammy Dodger,Kisshunter
sodapants,Dragojent,2,0,Avri,Ricki,Gamer97,Rickfernello
jif,sodapants,2,1,Theo,TreXDer,3Stans,echeerie
snaphap,jif,2,0,DFeth,Konomi,DFeth,Xandy
Pick,Aetos,2,0,GaviGuy,TheWay123,Abysmalcosmos,Drogin_dunlane
NickAzn,metalman20,2,0,Programmatic,Aexus,CursedElectric,Primis Rulz
Pick,NickAzn,2,0,1,1,1,1
metalman20,Aetos,2,0,1,1,1,1
NickAzn,metalman20,2,1,1,1,1,1
Pick,NickAzn,2,0,1,1,1,1
Mapy,Kisshunter,2,0,1,1,1,1
Edge,Jammy Dodger,2,1,1,1,1,1
Mapy,Edge,2,0,1,1,1,1
Jammy Dodger,Kisshunter,2,0,1,1,1,1
Edge,Jammy Dodger,2,1,1,1,1,1
Mapy,Edge,2,0,1,1,1,1
Ricki,Rickfernello,2,0,1,1,1,1
Avri,Gamer97,2,0,1,1,1,1
Ricki,Avri,2,0,1,1,1,1
Gamer97,Rickfernello,2,1,1,1,1,1
Avri,Gamer97,2,0,1,1,1,1
Ricki,Avri,2,0,1,1,1,1
TreXDer,echeerie,2,0,1,1,1,1
Theo,3Stans,2,1,1,1,1,1
TreXDer,Theo,2,0,1,1,1,1
3Stans,echeerie,2,0,1,1,1,1
Theo,3Stans,2,0,1,1,1,1
TreXDer,Theo,2,0,1,1,1,1
Konomi,Xandy,2,0,1,1,1,1
Loosiano,DFeth,2,0,1,1,1,1
Konomi,Loosiano,2,1,1,1,1,1
DFeth,Xandy,2,0,1,1,1,1
DFeth,Loosiano,2,0,1,1,1,1
Konomi,DFeth,2,1,1,1,1,1
GaviGuy,Drogin_dunlane,2,0,1,1,1,1
TheWay123,Abysmalcosmos,2,0,1,1,1,1
TheWay123,GaviGuy,2,1,1,1,1,1
Abysmalcosmos,Drogin_dunlane,2,0,1,1,1,1
GaviGuy,Abysmalcosmos,2,0,1,1,1,1
TheWay123,GaviGuy,2,0,1,1,1,1
Programmatic,Primis Rulz,2,0,1,1,1,1
Aexus,CursedElectric,2,0,1,1,1,1
Aexus,Programmatic,2,0,1,1,1,1
CursedElectric,Primis Rulz,2,0,1,1,1,1
Programmatic,CursedElectric,2,0,1,1,1,1
Aexus,Programmatic,2,0,1,1,1,1
GaviGuy,Theo,3,2,1,1,1,1
Edge,Avri,3,2,1,1,1,1
DFeth,sodapants,3,0,1,1,1,1
Programmatic,NickAzn,3,0,1,1,1,1
GaviGuy,Edge,4,3,1,1,1,1
Programmatic,DFeth,4,1,1,1,1,1
GaviGuy,Programmatic,5,2,1,1,1,1
Avri,Theo,3,1,1,1,1,1
NickAzn,sodapants,3,2,1,1,1,1
DFeth,Avri,3,0,1,1,1,1
Edge,NickAzn,3,2,1,1,1,1
DFeth,Edge,4,3,1,1,1,1
Programmatic,DFeth,4,1,1,1,1,1
Programmatic,GaviGuy,5,4,1,1,1,1
Programmatic,GaviGuy,5,4,1,1,1,1
TreXDer,TheWay123,3,1,1,1,1,1
Mapy,Ricki,3,0,1,1,1,1
snaphap,Konomi,3,0,1,1,1,1
Aexus,Pick,3,0,1,1,1,1
TreXDer,Mapy,4,1,1,1,1,1
Aexus,snaphap,4,2,1,1,1,1
TreXDer,Aexus,5,0,1,1,1,1
Ricki,TheWay123,3,1,1,1,1,1
snaphap,Ricki,3,0,1,1,1,1
Mapy,Pick,3,0,1,1,1,1
snaphap,Mapy,4,1,1,1,1,1
snaphap,Aexus,4,0,1,1,1,1
snaphap,TreXDer,5,1,1,1,1,1
snaphap,TreXDer,5,1,1,1,1,1
