P1,P2,S1,S2,Challengers,Elites,Close,Fails
swagdude,AngryScootsman,2,0,Abysmalcosmos,Daquat,swagdude,AngryScootsman
Daquat,Abysmalcosmos,2,1,oproerling,Mapy,tetrachris,CaliCalicko
Daquat,swagdude,3,0,Kwazi,TreXDer,haomakk,Avri
Abysmalcosmos,AngryScootsman,2,0,metalman20,PnO_Mader,CarbonCarbon12,Halflite
Abysmalcosmos,swagdude,3,1,Ricki,GaviGuy,Franco,Drogin_dunlane
Daquat,Abysmalcosmos,3,0,Cahobo,Konomi,Ballinbino,Nemo
Mapy,CaliCalicko,2,0,Krauvando,Pick,Gamer97,FlyinPoulpus
oproerling,tetrachris,2,0,Loosiano,Programmatic,Edge,Aexus
Mapy,oproerling,3,1,1,1,1,1
tetrachris,CaliCalicko,2,0,1,1,1,1
oproerling,tetrachris,3,2,1,1,1,1
Mapy,oproerling,3,0,1,1,1,1
TreXDer,Avri,2,0,1,1,1,1
Kwazi,haomakk,2,0,1,1,1,1
TreXDer,Kwazi,3,0,1,1,1,1
haomakk,Avri,2,1,1,1,1,1
Kwazi,haomakk,3,0,1,1,1,1
TreXDer,Kwazi,3,0,1,1,1,1
PnO_Mader,CarbonCarbon12,2,0,1,1,1,1
metalman20,Halflite,2,0,1,1,1,1
PnO_Mader,metalman20,3,0,1,1,1,1
CarbonCarbon12,Halflite,2,1,1,1,1,1
metalman20,CarbonCarbon12,3,1,1,1,1,1
PnO_Mader,metalman20,3,0,1,1,1,1
Ricki,Drogin_dunlane,2,0,1,1,1,1
GaviGuy,Franco,2,0,1,1,1,1
GaviGuy,Ricki,3,1,1,1,1,1
Franco,Drogin_dunlane,2,0,1,1,1,1
Ricki,Franco,3,0,1,1,1,1
GaviGuy,Ricki,3,0,1,1,1,1
Konomi,Nemo,2,0,1,1,1,1
Cahobo,Ballinbino,2,1,1,1,1,1
Konomi,Cahobo,3,0,1,1,1,1
Ballinbino,Nemo,2,0,1,1,1,1
Cahobo,Ballinbino,3,2,1,1,1,1
Konomi,Cahobo,3,0,1,1,1,1
Pick,FlyinPoulpus,2,0,1,1,1,1
Krauvando,Gamer97,2,0,1,1,1,1
Pick,Krauvando,3,0,1,1,1,1
Gamer97,FlyinPoulpus,2,1,1,1,1,1
Krauvando,Gamer97,3,0,1,1,1,1
Pick,Krauvando,2,0,1,1,1,1
Programmatic,Aexus,2,0,1,1,1,1
Loosiano,Edge,2,1,1,1,1,1
Programmatic,Loosiano,3,0,1,1,1,1
Edge,Aexus,2,1,1,1,1,1
Loosiano,Edge,3,1,1,1,1,1
Kwazi,Ballinbino,3,2,1,1,1,1
oproerling,Krauvando,3,1,1,1,1,1
Ricki,Abysmalcosmos,3,0,1,1,1,1
Loosiano,metalman20,3,1,1,1,1,1
Kwazi,oproerling,4,1,1,1,1,1
Ricki,oproerling,5,1,1,1,1,1
Ballinbino,Krauvando,3,1,1,1,1,1
Abysmalcosmos,metalman20,3,1,1,1,1,1
Kwazi,Abysmalcosmos,3,2,1,1,1,1
Kwazi,Ballinbino,4,0,1,1,1,1
Kwazi,oproerling,4,1,1,1,1,1
Ricki,Kwazi,5,1,1,1,1,1
TreXDer,Konomi,3,0,1,1,1,1
Mapy,Pick,3,2,1,1,1,1
Daquat,GaviGuy,3,2,1,1,1,1
PnO_Mader,Programmatic,3,0,1,1,1,1
TreXDer,Mapy,4,1,1,1,1,1
PnO_Mader,Daquat,4,2,1,1,1,1
TreXDer,PnO_Mader,5,2,1,1,1,1
Pick,Konomi,3,0,1,1,1,1
Programmatic,GaviGuy,3,0,1,1,1,1
Pick,Daquat,3,2,1,1,1,1
Mapy,Programmatic,3,2,1,1,1,1
Pick,Mapy,4,0,1,1,1,1
PnO_Mader,Pick,4,2,1,1,1,1
TreXDer,PnO_Mader,5,4,1,1,1,1
